run_accession	sample_accession	sample_alias	sample_title	experiment_title	library_layout	study_accession	study_title	center_name	fastq_ftp	collection_date
SRR397237	SAMN00771152	A04409	Colorectal tumour - Subject 0005-067	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04409	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397237/SRR397237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397237/SRR397237_2.fastq.gz	
SRR397239	SAMN00771154	A04411	Colorectal tumour - Subject 0005-069	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04411	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397239/SRR397239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397239/SRR397239_2.fastq.gz	
SRR396967	SAMN00771086	A02693	Colorectal tumour - Subject 0005-027	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02693	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396967/SRR396967_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396967/SRR396967_2.fastq.gz	
SRR397240	SAMN00771155	A04412	Colorectal tumour - Subject 0005-070	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04412	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397240/SRR397240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397240/SRR397240_2.fastq.gz	
SRR396971	SAMN00771090	A02697	Colorectal tumour - Subject 0005-032	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02697	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396971/SRR396971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396971/SRR396971_2.fastq.gz	
SRR397244	SAMN00771159	A04416	Colorectal tumour - Subject 0005-075	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04416	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397244/SRR397244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397244/SRR397244_2.fastq.gz	
SRR396972	SAMN00771091	A02698	Colorectal tumour - Subject 0005-033	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02698	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396972/SRR396972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396972/SRR396972_2.fastq.gz	
SRR397245	SAMN00771160	A04417	Colorectal tumour - Subject 0005-076	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04417	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397245/SRR397245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397245/SRR397245_2.fastq.gz	
SRR397246	SAMN00771161	A04419	Colorectal tumour - Subject 0005-079	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04419	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397246/SRR397246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397246/SRR397246_2.fastq.gz	
SRR396974	SAMN00771093	A02700	Colorectal tumour - Subject 0005-035	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02700	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396974/SRR396974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396974/SRR396974_2.fastq.gz	
SRR397257	SAMN00771172	A04430	Colorectal tumour - Subject 0005-093	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04430	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397257/SRR397257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397257/SRR397257_2.fastq.gz	
SRR397259	SAMN00771174	A04432	Colorectal tumour - Subject 0005-095	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04432	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397259/SRR397259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397259/SRR397259_2.fastq.gz	
SRR396976	SAMN00771095	A02702	Colorectal tumour - Subject 0005-037	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02702	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396976/SRR396976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396976/SRR396976_2.fastq.gz	
SRR396977	SAMN00771096	A02703	Colorectal tumour - Subject 0005-040	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02703	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396977/SRR396977_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396977/SRR396977_2.fastq.gz	
SRR397263	SAMN00771178	A04436	Colorectal tumour - Subject 0005-099	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04436	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397263/SRR397263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397263/SRR397263_2.fastq.gz	
SRR396981	SAMN00771100	A02707	Colorectal tumour - Subject 0005-047	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02707	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396981/SRR396981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396981/SRR396981_2.fastq.gz	
SRR397266	SAMN00771181	A04439	Normal colon epithelium - Subject 0005-066	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04439	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397266/SRR397266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397266/SRR397266_2.fastq.gz	
SRR397272	SAMN00771187	A04445	Normal colon epithelium - Subject 0005-073	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04445	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397272/SRR397272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397272/SRR397272_2.fastq.gz	
SRR397273	SAMN00771188	A04446	Normal colon epithelium - Subject 0005-074	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04446	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397273/SRR397273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397273/SRR397273_2.fastq.gz	
SRR396982	SAMN00771101	A02708	Colorectal tumour - Subject 0005-049	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02708	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396982/SRR396982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396982/SRR396982_2.fastq.gz	
SRR397277	SAMN00771192	A04451	Normal colon epithelium - Subject 0005-081	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04451	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397277/SRR397277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397277/SRR397277_2.fastq.gz	
SRR396985	SAMN00771104	A02711	Colorectal tumour - Subject 0005-053	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02711	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396985/SRR396985_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396985/SRR396985_2.fastq.gz	
SRR397283	SAMN00771198	A04457	Normal colon epithelium - Subject 0005-089	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04457	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397283/SRR397283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397283/SRR397283_2.fastq.gz	
SRR397284	SAMN00771199	A04458	Normal colon epithelium - Subject 0005-090	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04458	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397284/SRR397284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397284/SRR397284_2.fastq.gz	
SRR396987	SAMN00771106	A02713	Colorectal tumour - Subject 0005-056	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02713	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396987/SRR396987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396987/SRR396987_2.fastq.gz	
SRR397285	SAMN00771200	A04459	Normal colon epithelium - Subject 0005-091	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04459	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397285/SRR397285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397285/SRR397285_2.fastq.gz	
SRR396988	SAMN00771107	A02714	Colorectal tumour - Subject 0005-057	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02714	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396988/SRR396988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396988/SRR396988_2.fastq.gz	
SRR397286	SAMN00771201	A04460	Normal colon epithelium - Subject 0005-092	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04460	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397286/SRR397286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397286/SRR397286_2.fastq.gz	
SRR396989	SAMN00771108	A02715	Colorectal tumour - Subject 0005-058	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02715	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396989/SRR396989_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396989/SRR396989_2.fastq.gz	
SRR397288	SAMN00771203	A04462	Normal colon epithelium - Subject 0005-094	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04462	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397288/SRR397288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397288/SRR397288_2.fastq.gz	
SRR396990	SAMN00771109	A02716	Colorectal tumour - Subject 0005-059	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02716	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396990/SRR396990_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396990/SRR396990_2.fastq.gz	
SRR397297	SAMN00771152	A04409	Colorectal tumour - Subject 0005-067	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04409	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397297/SRR397297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397297/SRR397297_2.fastq.gz	
SRR397299	SAMN00771154	A04411	Colorectal tumour - Subject 0005-069	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04411	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397299/SRR397299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397299/SRR397299_2.fastq.gz	
SRR397301	SAMN00771156	A04413	Colorectal tumour - Subject 0005-071	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04413	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397301/SRR397301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397301/SRR397301_2.fastq.gz	
SRR396991	SAMN00771110	A02717	Colorectal tumour - Subject 0005-060	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02717	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396991/SRR396991_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396991/SRR396991_2.fastq.gz	
SRR397305	SAMN00771160	A04417	Colorectal tumour - Subject 0005-076	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04417	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397305/SRR397305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397305/SRR397305_2.fastq.gz	
SRR397313	SAMN00771168	A04426	Colorectal tumour - Subject 0005-089	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04426	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397313/SRR397313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397313/SRR397313_2.fastq.gz	
SRR396992	SAMN00771111	A02718	Colorectal tumour - Subject 0005-062	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02718	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396992/SRR396992_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396992/SRR396992_2.fastq.gz	
SRR397319	SAMN00771174	A04432	Colorectal tumour - Subject 0005-095	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04432	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397319/SRR397319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397319/SRR397319_2.fastq.gz	
SRR396993	SAMN00771112	A02719	Colorectal tumour - Subject 0005-063	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02719	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396993/SRR396993_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396993/SRR396993_2.fastq.gz	
SRR397321	SAMN00771176	A04434	Colorectal tumour - Subject 0005-097	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04434	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397321/SRR397321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397321/SRR397321_2.fastq.gz	
SRR397322	SAMN00771177	A04435	Colorectal tumour - Subject 0005-098	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04435	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397322/SRR397322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397322/SRR397322_2.fastq.gz	
SRR396994	SAMN00771113	A02720	Colorectal tumour - Subject 0005-064	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02720	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396994/SRR396994_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396994/SRR396994_2.fastq.gz	
SRR397325	SAMN00771180	A04438	Colorectal tumour - Subject 0005-101	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04438	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397325/SRR397325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397325/SRR397325_2.fastq.gz	
SRR396997	SAMN00771116	A02723	Normal colon epithelium - Subject 0005-014	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02723	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396997/SRR396997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396997/SRR396997_2.fastq.gz	
SRR397327	SAMN00771182	A04440	Normal colon epithelium - Subject 0005-067	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04440	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397327/SRR397327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397327/SRR397327_2.fastq.gz	
SRR397328	SAMN00771183	A04441	Normal colon epithelium - Subject 0005-068	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04441	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397328/SRR397328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397328/SRR397328_2.fastq.gz	
SRR397004	SAMN00771123	A02730	Normal colon epithelium - Subject 0005-028	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02730	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397004/SRR397004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397004/SRR397004_2.fastq.gz	
SRR397329	SAMN00771184	A04442	Normal colon epithelium - Subject 0005-069	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04442	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397329/SRR397329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397329/SRR397329_2.fastq.gz	
SRR397007	SAMN00771126	A02733	Normal colon epithelium - Subject 0005-032	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02733	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397007/SRR397007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397007/SRR397007_2.fastq.gz	
