run_accession	fastq_ftp	fastq_md5	library_layout
SRR396958	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396958/SRR396958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396958/SRR396958_2.fastq.gz	8f0da0c731bca240b9ab269a1bccc72c;d32b4d558bb562032a1674795b1d818e	PAIRED
SRR396959	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396959/SRR396959_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396959/SRR396959_2.fastq.gz	d51b2c213dc2a699f05904837958e0e3;3445c6141613ba432b38b924bff06b64	PAIRED
SRR396960	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396960/SRR396960_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396960/SRR396960_2.fastq.gz	48536865d4bfcdeecd0b2bd20292009a;4c625430f705b9bc80c22eabf8e5ab76	PAIRED
SRR396964	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396964/SRR396964_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396964/SRR396964_2.fastq.gz	d297ccd06273ce1af19cfee72191a150;565371e16e8ad842c3391a947b21df97	PAIRED
SRR396969	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396969/SRR396969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396969/SRR396969_2.fastq.gz	98008ce87efd126b7eba3a5f4434e443;12321e807db076bd5eef4d50ed01f0d1	PAIRED
SRR396973	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396973/SRR396973_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396973/SRR396973_2.fastq.gz	da94c8dc48a7c48dc63ec3c36920e591;5017148a734fe60c748ad2469e5ebdeb	PAIRED
SRR396975	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396975/SRR396975_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396975/SRR396975_2.fastq.gz	c9c2489a8e4172d057348690dae6ebca;06921a902b9edbf690354f4abe7204c1	PAIRED
SRR396978	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396978/SRR396978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396978/SRR396978_2.fastq.gz	46d00db805476b0e23b7abaff9f27285;df52efc370bc96fe9994b0abe530cc4e	PAIRED
SRR396979	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396979/SRR396979_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396979/SRR396979_2.fastq.gz	69fcb6e5c061dcfaf3dc4e59a8ede973;644dfc7d9e10e128bcb1d0fdefc72769	PAIRED
SRR396980	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396980/SRR396980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396980/SRR396980_2.fastq.gz	c41078d40078feb94cf984a9f5b582f4;f3ce4962b3a6101f8d9053588ab4af43	PAIRED
